StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,Technical_Skills_Score,PlacementStatus,PlacementStatus_encoded
1,7.5,1.0,1,1,65,4.4,No,No,61,79,66.0,notplaced,0
2,8.9,0.0,3,2,90,4.0,Yes,Yes,78,82,47.0,placed,1
3,7.3,1.0,2,2,82,4.8,Yes,No,79,80,69.0,notplaced,0
4,7.5,1.0,1,2,85,4.4,Yes,Yes,81,80,51.0,placed,1
5,8.3,1.0,2,2,86,4.5,Yes,Yes,74,88,67.0,placed,1
6,7.2,0.0,2,2,71,4.2,Yes,No,55,66,68.0,notplaced,0
7,7.7,1.0,1,1,76,4.0,No,No,62,65,80.0,notplaced,0
8,7.7,2.0,1,0,85,3.5,Yes,Yes,59,72,72.0,notplaced,0
9,7.7,1.0,1,0,84,3.9,No,Yes,75,71,46.0,notplaced,0
10,7.8,1.0,3,2,79,4.4,Yes,Yes,85,86,75.0,placed,1
11,15.0,2.0,3,2,90,4.8,Yes,Yes,82,88,68.0,placed,1
12,7.7,1.0,3,2,90,4.8,Yes,Yes,71,87,81.0,placed,1
13,8.3,2.0,3,2,90,4.5,Yes,Yes,84,83,65.0,placed,1
14,-2.0,1.0,1,1,74,4.6,No,Yes,63,73,68.0,notplaced,0
15,7.5,1.0,1,1,66,4.1,No,No,61,66,79.0,notplaced,0
16,7.4,0.0,2,1,78,4.4,No,No,63,66,72.0,notplaced,0
17,8.6,0.0,3,0,84,4.8,Yes,Yes,62,78,59.0,placed,1
18,7.7,2.0,3,2,90,4.7,Yes,Yes,84,86,82.0,placed,1
19,6.8,2.0,3,0,73,4.4,Yes,Yes,72,82,55.0,placed,1
20,7.4,1.0,2,0,70,4.4,No,Yes,58,63,49.0,notplaced,0
21,7.6,2.0,1,0,84,4.4,No,Yes,77,75,57.0,placed,1
22,7.4,1.0,2,1,72,3.5,No,Yes,82,69,67.0,placed,1
23,7.7,0.0,1,0,77,3.4,No,Yes,55,72,76.0,placed,1
24,7.4,1.0,1,0,60,3.8,No,No,55,71,48.0,notplaced,0
25,7.4,1.0,2,1,90,4.3,No,Yes,56,69,48.0,notplaced,0
26,6.7,1.0,1,1,70,4.0,No,No,68,57,60.0,notplaced,0
27,7.4,2.0,3,2,78,4.3,Yes,Yes,76,82,45.0,notplaced,0
28,8.3,1.0,1,1,81,4.5,Yes,Yes,64,65,88.0,notplaced,0
29,7.5,1.0,2,1,84,4.4,No,No,66,73,52.0,notplaced,0
30,7.0,0.0,1,1,63,3.9,No,Yes,60,61,83.0,notplaced,0
31,8.4,2.0,3,2,90,4.6,Yes,Yes,55,80,84.0,placed,1
32,7.4,1.0,2,1,76,4.7,No,Yes,66,69,49.0,notplaced,0
33,8.5,1.0,3,0,90,4.8,Yes,Yes,85,85,90.0,placed,1
34,8.6,1.0,2,2,75,4.3,Yes,Yes,62,80,47.0,placed,1
35,6.9,0.0,1,0,70,3.9,No,Yes,79,68,60.0,placed,1
36,7.8,1.0,1,1,67,4.3,No,No,65,73,90.0,notplaced,0
37,8.3,1.0,2,2,89,4.8,Yes,Yes,75,81,58.0,placed,1
38,8.2,1.0,2,2,77,4.2,No,Yes,72,72,52.0,placed,1
39,8.5,2.0,3,3,90,4.7,Yes,Yes,79,86,76.0,placed,1
40,6.7,0.0,3,2,88,4.2,Yes,Yes,72,86,88.0,placed,1
41,8.6,2.0,3,1,90,4.8,Yes,Yes,63,84,57.0,placed,1
42,8.3,2.0,3,2,85,4.8,Yes,Yes,77,83,80.0,placed,1
43,6.7,0.0,1,1,72,4.4,No,No,55,60,75.0,notplaced,0
44,8.6,2.0,3,2,88,4.7,Yes,Yes,80,87,87.0,placed,1
45,7.4,1.0,3,0,86,4.8,No,Yes,70,73,53.0,notplaced,0
46,6.7,1.0,1,2,73,4.5,No,No,55,66,42.0,placed,1
47,6.9,1.0,1,1,76,4.4,No,No,55,65,73.0,notplaced,0
48,7.0,1.0,1,0,62,4.3,No,Yes,59,67,86.0,notplaced,0
49,8.1,1.0,3,2,90,4.6,Yes,Yes,77,87,46.0,placed,1
50,7.7,1.0,2,0,74,3.8,Yes,No,55,66,84.0,notplaced,0
51,6.5,0.0,2,1,77,4.8,No,Yes,56,65,40.0,notplaced,0
52,8.2,1.0,3,0,65,4.1,Yes,No,66,65,45.0,notplaced,0
53,8.1,2.0,3,2,90,4.7,Yes,Yes,82,82,67.0,placed,1
54,6.5,1.0,2,1,80,4.5,Yes,Yes,72,67,65.0,notplaced,0
55,6.5,0.0,2,1,72,4.5,No,No,57,69,88.0,notplaced,0
56,8.8,2.0,3,2,90,4.8,Yes,Yes,86,88,84.0,placed,1
57,8.0,1.0,1,0,74,4.5,Yes,Yes,55,65,54.0,notplaced,0
58,8.4,2.0,2,2,81,4.6,Yes,Yes,77,82,54.0,placed,1
59,8.0,1.0,1,0,86,4.2,No,No,55,83,80.0,notplaced,0
60,6.6,0.0,1,0,76,3.9,No,Yes,78,69,42.0,placed,1
61,7.7,2.0,2,0,86,4.0,Yes,Yes,79,64,94.0,notplaced,0
62,8.2,1.0,2,1,86,4.3,Yes,Yes,86,63,83.0,placed,1
63,7.2,1.0,2,0,74,4.1,No,No,70,65,83.0,notplaced,0
64,6.6,1.0,2,1,72,4.1,No,No,55,75,58.0,notplaced,0
65,7.6,1.0,2,0,77,4.6,Yes,No,84,67,93.0,notplaced,0
66,8.0,0.0,3,0,68,4.2,Yes,No,64,83,51.0,placed,1
67,7.8,2.0,3,2,87,4.8,Yes,No,90,83,43.0,notplaced,0
68,7.2,1.0,1,0,82,4.6,Yes,Yes,57,64,60.0,notplaced,0
69,7.7,1.0,1,0,74,4.1,No,Yes,57,68,95.0,placed,1
70,8.4,1.0,1,2,67,3.8,Yes,Yes,76,69,47.0,notplaced,0
71,7.5,1.0,1,1,69,4.3,No,Yes,71,76,56.0,notplaced,0
72,6.7,0.0,2,1,79,4.1,No,No,78,67,58.0,notplaced,0
73,8.1,2.0,3,2,90,4.8,Yes,Yes,80,86,62.0,placed,1
74,7.5,1.0,2,0,73,4.4,No,No,66,84,45.0,notplaced,0
